seed_title,onet_code,onet_name
Fixture Builder,51-4062.00,"Patternmakers, Metal and Plastic"
Certified Prosthetist and Orthotist (CPO),29-2091.00,Orthotists and Prosthetists
Tour Operations Specialist,39-7012.00,Travel Guides
Checker Loader,53-7051.00,Industrial Truck and Tractor Operators
Pack Out Operator,53-7064.00,"Packers and Packagers, Hand"
Registered Occupational Therapist (OTR),29-1122.00,Occupational Therapists
Assembly Riveter,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
Travel Nanny,39-9011.01,Nannies
Data Entry Clerk,43-9021.00,Data Entry Keyers
Compatibility Test Engineer,17-2072.00,"Electronics Engineers, Except Computer"
Laboratory Analyst,19-4099.01,Quality Control Analysts
Environmental Practice Leader,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Loss Prevention Operations Manager,11-9199.08,Loss Prevention Managers
Pediatric Physical Therapist (Pediatric PT),29-1123.00,Physical Therapists
Appetizer Preparer,35-2014.00,"Cooks, Restaurant"
Doctor of Dental Medicine (DMD),29-1021.00,"Dentists, General"
Coal Hauler Operator,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
Religion Professor,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
Blackjack Dealer,39-3011.00,Gambling Dealers
Library Media Technician,25-4031.00,Library Technicians
Cardiovascular Geneticist,19-1029.03,Geneticists
Terminal Air Traffic Control Specialist (Terminal ATC Specialist),53-2021.00,Air Traffic Controllers
Setup Mill Operator,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Technology Teacher,25-2023.00,"Career/Technical Education Teachers, Middle School"
Electromechanical Technician (EM Technician),17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
Corporate Quality Engineer,17-2112.02,Validation Engineers
Process Equipment Operator,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Physician's Assistant,29-1071.00,Physician Assistants
Group Fitness Instructor,39-9031.00,Exercise Trainers and Group Fitness Instructors
American Sign Language Interpreter (ASL Interpreter),27-3091.00,Interpreters and Translators
Police Dispatcher,43-5031.00,Public Safety Telecommunicators
Fire Management Specialist,33-2011.00,Firefighters
Materials Engineer,17-2131.00,Materials Engineers
Regulatory Affairs Director (RA Director),11-9199.01,Regulatory Affairs Managers
Computer Repair Technician,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
Speech-Language Pathologist (SLP),29-1127.00,Speech-Language Pathologists
Staff Anesthesiologist,29-1211.00,Anesthesiologists
Industrial Hygiene Consultant,19-5012.00,Occupational Health and Safety Technicians
Ironing Machine Operator,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Environmental Quality Scientist,19-1031.00,Conservation Scientists
Group Practice Pediatrician,29-1221.00,"Pediatricians, General"
Application Integration Engineer,15-1252.00,Software Developers
Direct Sales Coach,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
Strategic Business and Technology Intelligence Consultant,15-2051.01,Business Intelligence Analysts
Guest Room Attendant (GRA),37-2012.00,Maids and Housekeeping Cleaners
Transportation Worker,47-4051.00,Highway Maintenance Workers
Analytical Laboratory Technician (Analytical Lab Technician),19-4031.00,Chemical Technicians
Community Educator,25-9021.00,Farm and Home Management Educators
Perfect Binder Operator,51-5113.00,Print Binding and Finishing Workers
Library Media Specialist,25-4022.00,Librarians and Media Collections Specialists
Sustainable Design Coordinator,13-1199.05,Sustainability Specialists
Ultrasonographer,29-2032.00,Diagnostic Medical Sonographers
Highway Painter,47-2141.00,"Painters, Construction and Maintenance"
Cellar Worker,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Brand Designer,27-1024.00,Graphic Designers
Marriage and Family Therapist (MFT),21-1013.00,Marriage and Family Therapists
Electric Meter Technician,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Winder Tender,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
Orthodontic Assistant (Ortho Assistant),31-9091.00,Dental Assistants
Stapler,51-6093.00,Upholsterers
Product Ambassador,41-9011.00,Demonstrators and Product Promoters
Wash Crew Person,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
Real Estate Associate,41-9021.00,Real Estate Brokers
Customer Service Security Officer,33-9032.00,Security Guards
Plant Physiologist,19-1013.00,Soil and Plant Scientists
Front Office Agent,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Information Security Specialist,15-1212.00,Information Security Analysts
Speech and Language Therapist,29-1127.00,Speech-Language Pathologists
Service Station Attendant,53-6031.00,Automotive and Watercraft Service Attendants
Pediatric Occupational Therapist (Pediatric OT),29-1122.00,Occupational Therapists
Probation Agent,21-1092.00,Probation Officers and Correctional Treatment Specialists
Patient Service Technician (PST),31-9097.00,Phlebotomists
Application Developer,15-1252.00,Software Developers
Finish Repair Worker,51-7021.00,Furniture Finishers
Choir Member,27-2042.00,Musicians and Singers
Certified Professional Controller (CPC),53-2021.00,Air Traffic Controllers
Eligibility Examiner,43-4061.00,"Eligibility Interviewers, Government Programs"
Clinical Research Nurse Coordinator,11-9121.01,Clinical Research Coordinators
Mobile Home Set-Up Person,49-9095.00,Manufactured Building and Mobile Home Installers
Cardiopulmonary Rehabilitation Respiratory Therapist,29-1126.00,Respiratory Therapists
Wildlife Officer,33-3031.00,Fish and Game Wardens
Automation Clerk,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Radiologic Technologist (RT),29-2034.00,Radiologic Technologists and Technicians
Payroll Assistant,43-3051.00,Payroll and Timekeeping Clerks
Health Physics Technician (HP Tech),19-4051.02,Nuclear Monitoring Technicians
Technical Marketing Engineer,41-9031.00,Sales Engineers
Tank Car Loader,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Car Salesman,41-2031.00,Retail Salespersons
Outpatient Psychiatrist,29-1223.00,Psychiatrists
Environmental Quality Specialist,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Ballet Soloist,27-2031.00,Dancers
Dental Surgery Doctor (DDS),29-1021.00,"Dentists, General"
Social Services Director,11-9151.00,Social and Community Service Managers
Certified Pedorthotist,51-9082.00,Medical Appliance Technicians
CNC Operator (Computer Numerical Control Operator),51-9161.00,Computer Numerically Controlled Tool Operators
Surveillance Investigator,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Acupuncturist,29-1291.00,Acupuncturists
Product Quality Director,11-3051.01,Quality Control Systems Managers
Pile Driver,47-2072.00,Pile Driver Operators
Equipment Engineering Technician,49-9071.00,"Maintenance and Repair Workers, General"
Service Loss Control Consultant,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Immunologist,29-1229.01,Allergists and Immunologists
Seed Analyst,19-4012.00,Agricultural Technicians
Museum Educator,39-7011.00,Tour Guides and Escorts
Drafting Instructor,25-2032.00,"Career/Technical Education Teachers, Secondary School"
Change Person,41-2012.00,Gambling Change Persons and Booth Cashiers
Resident Advisor,39-9041.00,Residential Advisors
NDT Coordinator (Non-Destructive Testing Coordinator),17-3029.01,Non-Destructive Testing Specialists
Employee Relations Manager,11-3121.00,Human Resources Managers
Air Quality Instrument Specialist,17-3025.00,Environmental Engineering Technologists and Technicians
Field Installer,47-2211.00,Sheet Metal Workers
Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Salvage Diver,49-9092.00,Commercial Divers
Phlebotomist,31-9097.00,Phlebotomists
Instrumentation Technician,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
Registered Dietician,29-1031.00,Dietitians and Nutritionists
Plumbing Installer,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Mortgage Loan Processor,43-4131.00,Loan Interviewers and Clerks
Food Scientist,19-1012.00,Food Scientists and Technologists
Fisheries Habitat Restoration Specialist,19-2041.02,Environmental Restoration Planners
Geological Specialist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Long Distance Operator (LD Operator),43-2021.00,Telephone Operators
Credit Union Field Examiner,13-2061.00,Financial Examiners
Announcer,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
Anatomic Pathologist,29-1222.00,"Physicians, Pathologists"
Clinical Informatics Nurse,15-1211.01,Health Informatics Specialists
Textile Slitting Machine Operator,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Calibrator,51-2061.00,Timing Device Assemblers and Adjusters
Historian,19-3093.00,Historians
Forest Fire Specialist Supervisor,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Pots and Pans Person,35-9021.00,Dishwashers
Pediatric Physiatrist,29-1229.04,Physical Medicine and Rehabilitation Physicians
Analytical Research Program Manager,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
CNC Lathe Operator (Computer Numerical Control Lathe Operator),51-9161.00,Computer Numerically Controlled Tool Operators
Delimber Operator,45-4022.00,Logging Equipment Operators
Data Architect,15-1243.00,Database Architects
Grocery Manager,41-1011.00,First-Line Supervisors of Retail Sales Workers
Biological Scientist,19-1029.04,Biologists
Prepress Technician,51-5111.00,Prepress Technicians and Workers
Refinery Process Engineer,17-2041.00,Chemical Engineers
Human Resources Associate (HR Associate),43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
Track Inspector,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
Tour Actor,27-2011.00,Actors
Admissions Coordinator,29-2099.08,Patient Representatives
Drywall Hanger,47-2081.00,Drywall and Ceiling Tile Installers
Hospitalist,29-1229.02,Hospitalists
Mold Operator,51-4071.00,Foundry Mold and Coremakers
Architectural Designer,17-3011.00,Architectural and Civil Drafters
Dietary Assistant,35-2021.00,Food Preparation Workers
Soccer Coach,27-2022.00,Coaches and Scouts
Engine Assembler,51-2031.00,Engine and Other Machine Assemblers
Agriculture Laborer,45-2041.00,"Graders and Sorters, Agricultural Products"
Welding Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Research Computing Specialist,15-2021.00,Mathematicians
Timber Buyer,45-4023.00,Log Graders and Scalers
Automobile Damage Appraiser (Auto Damage Appraiser),13-1032.00,"Insurance Appraisers, Auto Damage"
Classification Instructor,25-1082.00,"Library Science Teachers, Postsecondary"
Pediatrics and Acute Care Occupational Therapist,29-1122.00,Occupational Therapists
Park Guide,19-1031.03,Park Naturalists
Circuit Court Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Social Worker Assistant,21-1093.00,Social and Human Service Assistants
Cost Engineer,13-1051.00,Cost Estimators
Nuclear Medicine Physician,29-1224.00,Radiologists
Office Support Assistant,43-9061.00,"Office Clerks, General"
Museum Informatics Specialist,15-2099.01,Bioinformatics Technicians
Digital Diabetes Research Officer,15-1211.01,Health Informatics Specialists
Product Demonstrator,41-9011.00,Demonstrators and Product Promoters
Traffic Investigator,53-6041.00,Traffic Technicians
CNC Machine Operator (Computer Numerical Control Machine Operator),51-9161.00,Computer Numerically Controlled Tool Operators
Inside Wireman,47-2111.00,Electricians
Automotive Mechanic (Auto Mechanic),49-3023.00,Automotive Service Technicians and Mechanics
Licensed Marriage and Family Therapist (LMFT),21-1013.00,Marriage and Family Therapists
CNC Machine Setter (Computer Numerically Controlled Machine Setter),51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Relief Driller,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Design Engineer (Design Eng),17-2199.05,Mechatronics Engineers
Wind Turbine Service Technician,49-9081.00,Wind Turbine Service Technicians
Imaging Technologist (Imaging Tech),29-2034.00,Radiologic Technologists and Technicians
Broadcast Maintenance Engineer,27-4012.00,Broadcast Technicians
CNC Mill Operator (Computerized Numerical Control Mill Operator),51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
Knowledge Engineer,15-2021.00,Mathematicians
Vehicle Delivery Worker,43-5021.00,Couriers and Messengers
Computer Information Systems Instructor (CIS Instructor),25-1021.00,"Computer Science Teachers, Postsecondary"
Mail Delivery Supervisor,11-9131.00,Postmasters and Mail Superintendents
Crime Scene Technician (Crime Scene Tech),19-4092.00,Forensic Science Technicians
Library Science Professor,25-1082.00,"Library Science Teachers, Postsecondary"
Academic Affairs Vice President (Academic Affairs VP),11-9033.00,"Education Administrators, Postsecondary"
Tax Examiner,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Family Service Worker,21-1021.00,"Child, Family, and School Social Workers"
Residence Director,39-9041.00,Residential Advisors
Non-Licensed Nuclear Plant Operator (NLO),19-4051.00,Nuclear Technicians
Surveillance Officer,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Mine Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Farm Supervisor,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Flexographic Press Operator,51-5112.00,Printing Press Operators
Environmental Field Services Technician,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Prepress Specialist,51-5111.00,Prepress Technicians and Workers
Registered Nurse Clinical Information Systems Coordinator (RN Clinical Information Systems Coordinator),15-1211.01,Health Informatics Specialists
Budget Coordinator,13-2031.00,Budget Analysts
Greenhouse Worker,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Plasterer,47-2161.00,Plasterers and Stucco Masons
Outside Sales Representative,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Rip Saw Operator,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Heavy Lift Rigger,49-9096.00,Riggers
Powder Coater,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
Nursery Worker,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Cinema Projectionist,39-3021.00,Motion Picture Projectionists
Central Service Technician (CST),31-9093.00,Medical Equipment Preparers
Lock Technician,49-9094.00,Locksmiths and Safe Repairers
